"Date","BTC-USD","ETH-USD","LTC-USD","XRP-USD","ADA-USD","TSLA","AAPL","AMZN","MSFT","PG"
"2020-06-23 08:00:00",9629.658203,244.142151,44.179279,0.18868,0.08295,66.785332,91.6325,138.220505,201.910004,117.730003
"2020-06-24 08:00:00",9313.610352,235.772461,42.843826,0.184272,0.082583,64.056664,90.014999,136.720001,197.839996,116.419998
"2020-06-25 08:00:00",9264.813477,232.944489,42.56353,0.18357,0.081691,65.732002,91.209999,137.729004,200.339996,117.889999
"2020-06-26 08:00:00",9162.917969,229.668045,43.320786,0.182671,0.080561,63.982666,88.407501,134.643494,196.330002,115.230003
"2020-06-27 08:00:00",9045.390625,222.959793,41.555561,0.176851,0.077679,NA,NA,NA,NA,NA
"2020-06-28 08:00:00",9143.582031,225.347168,41.408268,0.177692,0.080392,NA,NA,NA,NA,NA
"2020-06-29 08:00:00",9190.854492,228.19487,41.851032,0.177959,0.08387,67.290001,90.445,134.018997,198.440002,117.660004
"2020-06-30 08:00:00",9137.993164,226.315002,41.467793,0.17587,0.083116,71.987335,91.199997,137.940994,203.509995,119.57
"2020-07-01 08:00:00",9228.325195,231.113419,41.699245,0.176976,0.095954,74.641998,91.027496,143.934998,204.699997,119.980003
"2020-07-02 08:00:00",9123.410156,229.392197,41.485733,0.177244,0.094326,80.577332,91.027496,144.514999,206.259995,120.879997
"2020-07-03 08:00:00",9087.303711,225.38707,41.205135,0.176336,0.096538,NA,NA,NA,NA,NA
"2020-07-04 08:00:00",9132.488281,229.074112,42.066532,0.177984,0.099952,NA,NA,NA,NA,NA
"2020-07-05 08:00:00",9073.942383,227.664597,41.598076,0.177017,0.098211,NA,NA,NA,NA,NA
"2020-07-06 08:00:00",9375.474609,241.510223,43.963493,0.188567,0.105221,91.438667,93.462502,152.852005,210.699997,121.629997
"2020-07-07 08:00:00",9252.277344,239.075531,43.318249,0.184787,0.117554,92.657333,93.172501,150.005997,208.25,122.220001
"2020-07-08 08:00:00",9428.333008,246.670013,45.200745,0.204692,0.129908,91.05867,95.342499,154.055496,212.830002,122.889999
"2020-07-09 08:00:00",9277.967773,243.015961,44.537457,0.20291,0.124293,92.952003,95.752502,159.1315,214.320007,122.480003
"2020-07-10 08:00:00",9278.807617,240.984985,44.246117,0.198652,0.118316,102.976669,95.919998,160,213.669998,123.889999
"2020-07-11 08:00:00",9240.34668,239.458176,44.677078,0.201197,0.125214,NA,NA,NA,NA,NA
"2020-07-12 08:00:00",9276.5,242.131699,44.636101,0.200538,0.126783,NA,NA,NA,NA,NA
"2020-07-13 08:00:00",9243.614258,239.604584,43.919796,0.198575,0.124156,99.804001,95.477501,155.199997,207.070007,124.050003
"2020-07-14 08:00:00",9243.213867,240.211487,43.802864,0.198809,0.131963,101.120003,97.057503,154.199997,208.350006,125.089996
"2020-07-15 08:00:00",9192.836914,238.423523,43.278954,0.197111,0.130369,103.067329,97.724998,150.443497,208.039993,124.5
"2020-07-16 08:00:00",9132.227539,233.640884,42.035439,0.194048,0.125922,100.042664,96.522499,149.994995,203.919998,124.760002
